Age Group,Light Condition Desc,ACCIDENT_NO
40-49,Day,22005011880
40-49,Day,22005023099
40-49,Day,12005040416
40-49,Day,12005004712
40-49,Day,12005015708
40-49,Day,12005033142
17-21,Day,52005025816
17-21,Dark Street lights on,52005027230
17-21,Day,32005009581
17-21,Dark Street lights on,42005031171
17-21,Dark Street lights on,52005023755
17-21,Day,52005014630
17-21,Dusk/Dawn,52005026840
22-25,Day,42005004162
22-25,Day,42005020377
22-25,Day,52005008373
22-25,Dark Street lights unknown,52005015623
22-25,Day,32005030917
22-25,Day,32005019471
22-25,Dark Street lights on,42005022285
5-12,Dusk/Dawn,22005027352
5-12,Day,22005036704
5-12,Day,22005014904
5-12,Day,22005007997
5-12,Day,12005033948
5-12,Day,22005002078
30-39,Day,22005007113
30-39,Dark Street lights on,22005003468
40-49,Day,22005016963
40-49,Day,22005040509
40-49,Day,12005009841
40-49,Dusk/Dawn,22005016430
30-39,Day,12005002888
30-39,Day,12005032357
30-39,Day,12005004857
30-39,Day,22005027948
30-39,Day,22005025026
30-39,Dusk/Dawn,12005009520
30-39,Day,12005019569
30-39,Day,12005009925
30-39,Day,22005025217
30-39,Dark Street lights on,12005039755
40-49,Day,52005005274
40-49,Day,32005002394
40-49,Day,52005017021
40-49,Day,42005032681
40-49,Dark Street lights on,32005020332
40-49,Day,52005021940
40-49,Dark Street lights on,52005017061
40-49,Day,32005023407
5-12,Day,32005012651
5-12,Day,32005008706
5-12,Day,42005003003
22-25,Dark Street lights on,32005031305
22-25,Dark Street lights off,32005026968
22-25,Dark No street lights,42005030478
22-25,Day,52005016894
22-25,Dark Street lights on,42005029729
22-25,Dark Street lights on,42005018158
22-25,Dusk/Dawn,42005028772
22-25,Dark Street lights on,52005031441
22-25,Dark Street lights on,42005022142
22-25,Day,32005041312
50-59,Day,42005018705
50-59,Day,32005018820
50-59,Day,52005019701
50-59,Dark No street lights,32005032368
50-59,Dark Street lights on,42005026666
50-59,Dusk/Dawn,52005035781
50-59,Day,52005038269
50-59,Dark Street lights on,52005023084
50-59,Dark No street lights,52005028547
50-59,Dark No street lights,52005016698
50-59,Day,52005038137
50-59,Day,52005028975
50-59,Day,32005039085
16-17,Day,22005043023
22-25,Day,12005021757
30-39,Dark Street lights on,12005033961
30-39,Day,12005005894
40-49,Dark Street lights on,12005015134
unknown,Day,22005036588
13-15,Day,22005007186
26-29,Day,12005009054
30-39,Dark No street lights,42005028076
30-39,Day,52005006775
30-39,Day,42005030839
30-39,Dark No street lights,52005034175
30-39,Day,42005012283
30-39,Dark Street lights on,52005001811
17-21,Dusk/Dawn,52005037521
50-59,Dark Street lights on,42005016163
26-29,Day,52005036223
30-39,Dark Street lights on,52005038597
30-39,Day,52005015670
50-59,Day,42005005271
64-69,Day,32005014194
70+,Day,52005035636
30-39,Dark Street lights on,52005026822
16-17,Day,52005037705
26-29,Day,32005032720
30-39,Day,52005025166
30-39,Day,52005020866
17-21,Dark Street lights on,52005012551
40-49,Dusk/Dawn,22005022336
40-49,Day,12005030285
40-49,Day,22005042404
40-49,Day,12005004065
40-49,Day,22005019918
40-49,Dark Street lights on,12005024634
40-49,Dusk/Dawn,12005011965
40-49,Day,12005009044
40-49,Dark Street lights on,12005022190
40-49,Day,12005035488
40-49,Day,22005037370
40-49,Day,12005014117
40-49,Dark Street lights on,12005012583
40-49,Dusk/Dawn,12005034626
40-49,Day,12005043124
70+,Day,12005042101
70+,Day,12005034337
70+,Dusk/Dawn,22005039141
70+,Day,12005006242
70+,Day,12005021561
70+,Day,22005038857
70+,Dusk/Dawn,12005016727
70+,Day,22005032996
70+,Day,22005013208
30-39,Day,22005018623
30-39,Day,22005030007
30-39,Day,22005027941
30-39,Dark Street lights on,12005031964
30-39,Dark Street lights on,12005031702
30-39,Dusk/Dawn,12005032522
30-39,Day,12005037668
30-39,Day,12005040063
30-39,Dusk/Dawn,12005020746
30-39,Day,12005005590
30-39,Dark Street lights on,12005013879
30-39,Day,12005004632
30-39,Day,22005039661
30-39,Day,12005041940
30-39,Day,22005012025
30-39,Day,22005010078
30-39,Day,22005036840
30-39,Day,12005005658
30-39,Day,12005032511
22-25,Day,42005014282
22-25,Day,42005020500
22-25,Day,52005010988
22-25,Day,42005008474
22-25,Dark Street lights on,32005033622
22-25,Dark Street lights on,32005022475
22-25,Day,52005036651
22-25,Day,52005029386
22-25,Day,52005028975
22-25,Day,32005024381
22-25,Dark Street lights on,32005014278
22-25,Day,32005007466
22-25,Dark Street lights on,42005024605
22-25,Day,32005039974
22-25,Dusk/Dawn,42005022568
22-25,Dusk/Dawn,42005023471
22-25,Dark Street lights on,42005012285
22-25,Day,52005029404
22-25,Day,52005042487
22-25,Day,32005012396
50-59,Day,22005006283
70+,Dark Street lights on,12005020035
unknown,Day,12005023546
unknown,Dark Street lights on,22005015142
unknown,Dark No street lights,12005005741
unknown,Day,12005021759
unknown,Dusk/Dawn,12005036020
unknown,Day,22005040509
unknown,Dusk/Dawn,12005025645
unknown,Day,12005020078
40-49,Dark Street lights on,12005014883
40-49,Day,12005008370
40-49,Dark Street lights on,22005014716
40-49,Day,22005004685
40-49,Dark Street lights on,22005030567
40-49,Dark Street lights on,12005023110
40-49,Dark Street lights on,22005032170
17-21,Day,42005003897
17-21,Dark No street lights,42005014475
17-21,Day,52005004780
17-21,Day,32005033636
17-21,Day,42005025641
17-21,Dark Street lights on,52005004997
17-21,Dark No street lights,32005040907
50-59,Day,32005026978
50-59,Day,32005035563
50-59,Day,52005004972
50-59,Dark Street lights on,52005020212
50-59,Dark No street lights,32005016505
